Row [0] (0, 0) : 0.0
Row [1] (1, 0) : 0.0
Row [2] (2, 0) : 0.0
Row [3] (3, 0) : 0.0
Row [4] (4, 0) : 0.0
Row [5] (5, 0) : 0.0
Row [6] (6, 0) : 0.0
Row [7] (7, 0) : 0.0
Row [8] (8, 0) : 0.0
Row [9] (9, 0) : 0.0
Row [10] (10, 0) : 0.0
Row [11] (11, 0) : 0.0
Row [12] (12, 0) : 0.0
Row [13] (13, 0) : 0.0
Row [14] (14, 0) : 0.0
Row [15] (15, 0) : 0.0
Row [16] (16, 0) : 0.0
Row [17] (17, 0) : 0.0
Row [18] (18, 0) : 0.0
Row [19] (19, 0) : 0.0
Row [20] (20, 0) : 0.0
Row [21] (21, 0) : 0.0
Row [22] (22, 0) : 0.0
Row [23] (23, 0) : 0.0
Row [24] (24, 0) : 0.0
Row [25] (25, 0) : 0.0
Row [26] (26, 0) : 0.0
Row [27] (27, 0) : 0.0
Row [28] (28, 0) : 0.0
Row [29] (29, 0) : 0.0
Row [30] (30, 0) : 0.0
Row [31] (0, 1) : 0.0
Row [32] (1, 1) : 0.0
Row [33] (2, 1) : 0.0
Row [34] (3, 1) : 0.0
Row [35] (4, 1) : 0.0
Row [36] (5, 1) : 0.0
Row [37] (6, 1) : 0.0
Row [38] (7, 1) : 0.0
Row [39] (8, 1) : 0.0
Row [40] (9, 1) : 0.0
Row [41] (10, 1) : 0.0
Row [42] (11, 1) : 0.0
Row [43] (12, 1) : 0.0
Row [44] (13, 1) : 0.0
Row [45] (14, 1) : 0.0
Row [46] (15, 1) : 0.0
Row [47] (16, 1) : 0.0
Row [48] (17, 1) : 0.0
Row [49] (18, 1) : 0.0
Row [50] (19, 1) : 0.0
Row [51] (20, 1) : 0.0
Row [52] (21, 1) : 0.0
Row [53] (22, 1) : 0.0
Row [54] (23, 1) : 0.0
Row [55] (24, 1) : 0.0
Row [56] (25, 1) : 0.0
Row [57] (26, 1) : 0.0
Row [58] (27, 1) : 0.0
Row [59] (28, 1) : 0.0
Row [60] (29, 1) : 0.0
Row [61] (30, 1) : 0.0
Row [62] (0, 2) : 0.0
Row [63] (1, 2) : 0.0
Row [64] (2, 2) : 0.0
Row [65] (3, 2) : 0.0
Row [66] (4, 2) : 0.0
Row [67] (5, 2) : 0.0
Row [68] (6, 2) : 0.0
Row [69] (7, 2) : 0.0
Row [70] (8, 2) : 0.0
Row [71] (9, 2) : 0.0
Row [72] (10, 2) : 0.0
Row [73] (11, 2) : 0.0
Row [74] (12, 2) : 0.0
Row [75] (13, 2) : 0.0
Row [76] (14, 2) : 0.0
Row [77] (15, 2) : 0.0
Row [78] (16, 2) : 0.0
Row [79] (17, 2) : 0.0
Row [80] (18, 2) : 0.0
Row [81] (19, 2) : 0.0
Row [82] (20, 2) : 0.0
Row [83] (21, 2) : 0.0
Row [84] (22, 2) : 0.0
Row [85] (23, 2) : 0.0
Row [86] (24, 2) : 0.0
Row [87] (25, 2) : 0.0
Row [88] (26, 2) : 0.0
Row [89] (27, 2) : 0.0
Row [90] (28, 2) : 0.0
Row [91] (29, 2) : 0.0
Row [92] (30, 2) : 0.0
Row [93] (0, 3) : 0.0
Row [94] (1, 3) : 0.0
Row [95] (2, 3) : 0.0
Row [96] (3, 3) : 0.0
Row [97] (4, 3) : 0.0
Row [98] (5, 3) : 0.0
Row [99] (6, 3) : 0.0
Row [100] (7, 3) : 0.0
Row [101] (8, 3) : 0.0
Row [102] (9, 3) : 0.0
Row [103] (10, 3) : 0.0
Row [104] (11, 3) : 0.0
Row [105] (12, 3) : 0.0
Row [106] (13, 3) : 0.0
Row [107] (14, 3) : 0.0
Row [108] (15, 3) : 0.0
Row [109] (16, 3) : 0.0
Row [110] (17, 3) : 0.0
Row [111] (18, 3) : 0.0
Row [112] (19, 3) : 0.0
Row [113] (20, 3) : 0.0
Row [114] (21, 3) : 0.0
Row [115] (22, 3) : 0.0
Row [116] (23, 3) : 0.0
Row [117] (24, 3) : 0.0
Row [118] (25, 3) : 0.0
Row [119] (26, 3) : 0.0
Row [120] (27, 3) : 0.0
Row [121] (28, 3) : 0.0
Row [122] (29, 3) : 0.0
Row [123] (30, 3) : 0.0
Row [124] (0, 4) : 0.0
Row [125] (1, 4) : 0.0
Row [126] (2, 4) : 0.0
Row [127] (3, 4) : 0.0
Row [128] (4, 4) : 0.0
Row [129] (5, 4) : 0.0
Row [130] (6, 4) : 0.0
Row [131] (7, 4) : 0.0
Row [132] (8, 4) : 0.0
Row [133] (9, 4) : 0.0
Row [134] (10, 4) : 0.0
Row [135] (11, 4) : 0.0
Row [136] (12, 4) : 0.0
Row [137] (13, 4) : 0.0
Row [138] (14, 4) : 0.0
Row [139] (15, 4) : 0.0
Row [140] (16, 4) : 0.0
Row [141] (17, 4) : 0.0
Row [142] (18, 4) : 0.0
Row [143] (19, 4) : 0.0
Row [144] (20, 4) : 0.0
Row [145] (21, 4) : 0.0
Row [146] (22, 4) : 0.0
Row [147] (23, 4) : 0.0
Row [148] (24, 4) : 0.0
Row [149] (25, 4) : 0.0
Row [150] (26, 4) : 0.0
Row [151] (27, 4) : 0.0
Row [152] (28, 4) : 0.0
Row [153] (29, 4) : 0.0
Row [154] (30, 4) : 0.0
Row [155] (0, 5) : 0.0
Row [156] (1, 5) : 0.0
Row [157] (2, 5) : 0.0
Row [158] (3, 5) : 0.0
Row [159] (4, 5) : 0.0
Row [160] (5, 5) : 0.0
Row [161] (6, 5) : 0.0
Row [162] (7, 5) : 0.0
Row [163] (8, 5) : 0.0
Row [164] (9, 5) : 0.0
Row [165] (10, 5) : 0.0
Row [166] (11, 5) : 0.0
Row [167] (12, 5) : 0.0
Row [168] (13, 5) : 0.0
Row [169] (14, 5) : 0.0
Row [170] (15, 5) : 0.0
Row [171] (16, 5) : 0.0
Row [172] (17, 5) : 0.0
Row [173] (18, 5) : 0.0
Row [174] (19, 5) : 0.0
Row [175] (20, 5) : 0.0
Row [176] (21, 5) : 0.0
Row [177] (22, 5) : 0.0
Row [178] (23, 5) : 0.0
Row [179] (24, 5) : 0.0
Row [180] (25, 5) : 0.0
