Row [0] (0, 0) : -0.4375
Row [1] (1, 0) : -0.46875
Row [2] (2, 0) : -0.46875
Row [3] (3, 0) : -0.46875
Row [4] (4, 0) : -0.46875
Row [5] (5, 0) : -0.46875
Row [6] (6, 0) : -0.46875
Row [7] (7, 0) : -0.46875
Row [8] (8, 0) : -0.46875
Row [9] (9, 0) : -0.5
Row [10] (10, 0) : -0.34375
Row [11] (11, 0) : -0.15625
Row [12] (12, 0) : -0.59375
Row [13] (13, 0) : -0.40625
Row [14] (14, 0) : -0.28125
Row [15] (15, 0) : -0.25
Row [16] (16, 0) : 0.15625
Row [17] (17, 0) : -0.09375
Row [18] (18, 0) : -0.3125
Row [19] (19, 0) : -0.25
Row [20] (20, 0) : -0.40625
Row [21] (21, 0) : -0.5625
Row [22] (22, 0) : 0.125
Row [23] (23, 0) : -0.375
Row [24] (24, 0) : -0.65625
Row [25] (25, 0) : -0.375
Row [26] (26, 0) : -0.25
Row [27] (27, 0) : -0.21875
Row [28] (28, 0) : -0.40625
Row [29] (29, 0) : -0.5625
Row [30] (30, 0) : -0.5
Row [31] (31, 0) : -0.375
Row [32] (32, 0) : -0.34375
Row [33] (33, 0) : -0.5
Row [34] (34, 0) : -0.40625
Row [35] (35, 0) : -0.09375
Row [36] (36, 0) : -0.25
Row [37] (37, 0) : -0.40625
Row [38] (38, 0) : -0.34375
Row [39] (39, 0) : -0.4375
Row [40] (40, 0) : -0.46875
Row [41] (41, 0) : -0.46875
Row [42] (42, 0) : -0.375
Row [43] (43, 0) : -0.4375
Row [44] (44, 0) : -0.4375
Row [45] (45, 0) : -0.46875
Row [46] (46, 0) : -0.40625
Row [47] (47, 0) : -0.53125
Row [48] (48, 0) : -0.5
Row [49] (49, 0) : -0.40625
Row [50] (50, 0) : -0.3125
Row [51] (51, 0) : -0.375
Row [52] (52, 0) : -0.65625
Row [53] (53, 0) : -0.375
Row [54] (54, 0) : -0.21875
Row [55] (55, 0) : -0.21875
Row [56] (56, 0) : -0.46875
Row [57] (57, 0) : -0.46875
Row [58] (58, 0) : -0.46875
Row [59] (59, 0) : -0.375
Row [60] (60, 0) : -0.09375
Row [61] (61, 0) : -0.09375
Row [62] (0, 1) : -0.59375
Row [63] (1, 1) : -0.46875
Row [64] (2, 1) : -0.46875
Row [65] (3, 1) : -0.46875
Row [66] (4, 1) : -0.46875
Row [67] (5, 1) : -0.46875
Row [68] (6, 1) : -0.375
Row [69] (7, 1) : -0.40625
Row [70] (8, 1) : -0.53125
Row [71] (9, 1) : -0.375
Row [72] (10, 1) : -0.4375
Row [73] (11, 1) : -0.3125
Row [74] (12, 1) : -0.40625
Row [75] (13, 1) : -0.375
Row [76] (14, 1) : -0.0625
Row [77] (15, 1) : -0.1875
Row [78] (16, 1) : 0.28125
Row [79] (17, 1) : -0.375
Row [80] (18, 1) : -0.46875
Row [81] (19, 1) : -0.34375
Row [82] (20, 1) : -0.34375
Row [83] (21, 1) : -0.59375
Row [84] (22, 1) : -0.34375
Row [85] (23, 1) : -0.3125
Row [86] (24, 1) : -0.4375
Row [87] (25, 1) : -0.4375
Row [88] (26, 1) : -0.3125
Row [89] (27, 1) : -0.5
Row [90] (28, 1) : -0.625
Row [91] (29, 1) : -0.46875
Row [92] (30, 1) : -0.3125
Row [93] (31, 1) : -0.40625
Row [94] (32, 1) : -0.5625
Row [95] (33, 1) : -0.375
Row [96] (34, 1) : -0.3125
Row [97] (35, 1) : 0.0625
Row [98] (36, 1) : -0.15625
Row [99] (37, 1) : -0.40625
Row [100] (38, 1) : -0.46875
Row [101] (39, 1) : -0.46875
Row [102] (40, 1) : -0.46875
Row [103] (41, 1) : -0.46875
Row [104] (42, 1) : -0.40625
Row [105] (43, 1) : -0.46875
Row [106] (44, 1) : -0.59375
Row [107] (45, 1) : -0.46875
Row [108] (46, 1) : -0.40625
Row [109] (47, 1) : -0.5
Row [110] (48, 1) : -0.46875
Row [111] (49, 1) : -0.375
Row [112] (50, 1) : -0.4375
Row [113] (51, 1) : -0.375
Row [114] (52, 1) : -0.5
Row [115] (53, 1) : 0.03125
Row [116] (54, 1) : -0.21875
Row [117] (55, 1) : -0.28125
Row [118] (56, 1) : -0.3125
Row [119] (57, 1) : -0.375
Row [120] (58, 1) : -0.46875
Row [121] (59, 1) : -0.125
Row [122] (60, 1) : -0.15625
Row [123] (61, 1) : -0.40625
Row [124] (0, 2) : -0.15625
Row [125] (1, 2) : -0.21875
Row [126] (2, 2) : -0.46875
Row [127] (3, 2) : -0.46875
Row [128] (4, 2) : -0.46875
Row [129] (5, 2) : -0.46875
Row [130] (6, 2) : -0.40625
Row [131] (7, 2) : -0.46875
Row [132] (8, 2) : -0.40625
Row [133] (9, 2) : -0.40625
Row [134] (10, 2) : -0.46875
Row [135] (11, 2) : -0.5
Row [136] (12, 2) : -0.4375
Row [137] (13, 2) : 0.0
Row [138] (14, 2) : 0.09375
Row [139] (15, 2) : -0.375
Row [140] (16, 2) : -0.40625
Row [141] (17, 2) : -0.40625
Row [142] (18, 2) : -0.6875
Row [143] (19, 2) : -0.0625
Row [144] (20, 2) : -0.0625
Row [145] (21, 2) : -0.3125
Row [146] (22, 2) : 0.03125
Row [147] (23, 2) : 0.40625
Row [148] (24, 2) : 0.34375
Row [149] (25, 2) : -0.28125
Row [150] (26, 2) : -0.46875
Row [151] (27, 2) : -0.5
Row [152] (28, 2) : -0.46875
Row [153] (29, 2) : -0.46875
Row [154] (30, 2) : -0.40625
Row [155] (31, 2) : -0.46875
Row [156] (32, 2) : -0.59375
Row [157] (33, 2) : -0.34375
Row [158] (34, 2) : 0.03125
Row [159] (35, 2) : -0.34375
Row [160] (36, 2) : -0.375
Row [161] (37, 2) : -0.4375
Row [162] (38, 2) : -0.46875
Row [163] (39, 2) : -0.59375
Row [164] (40, 2) : -0.46875
Row [165] (41, 2) : -0.46875
Row [166] (42, 2) : -0.46875
Row [167] (43, 2) : -0.46875
Row [168] (44, 2) : -0.46875
Row [169] (45, 2) : -0.46875
Row [170] (46, 2) : -0.46875
Row [171] (47, 2) : -0.46875
Row [172] (48, 2) : -0.46875
Row [173] (49, 2) : -0.40625
Row [174] (50, 2) : -0.46875
Row [175] (51, 2) : -0.59375
Row [176] (52, 2) : -0.46875
